#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery_2
#Date Time: 2026-04-18 18:58:52.117
#Sample rate: 90009Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: -300 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
-0.08992240827026476,1.523766552774725
-0.08991129827026476,1.520046289657376
-0.08990018827026476,1.523766552774722
-0.08988907827026477,1.51632602654003
-0.08987796827026476,1.520046289657374
-0.08986685827026475,1.520046289657374
-0.08985574827026477,1.520046289657374
-0.08984463827026476,1.520046289657374
-0.08983352827026475,1.520046289657371
-0.08982241827026476,1.516326026540028
-0.08981130827026476,1.520046289657374
-0.08980019827026475,1.516326026540026
-0.08978908827026476,1.516326026540026
-0.08977797827026476,1.516326026540026
-0.08976686827026475,1.512605763422679
-0.08975575827026476,1.512605763422679
-0.08974464827026477,1.512605763422679
-0.08973353827026476,1.512605763422679
-0.08972242827026476,1.508885500305333
-0.08971131827026477,1.512605763422675
-0.08970020827026476,1.508885500305331
-0.08968909827026475,1.512605763422672
-0.08967798827026477,1.50516523718799
-0.08966687827026476,1.508885500305331
-0.08965576827026475,1.505165237187983
-0.08964465827026476,1.505165237187983
-0.08963354827026476,1.508885500305329
-0.08962243827026475,1.508885500305331
-0.08961132827026476,1.508885500305331
-0.08960021827026476,1.505165237187985
-0.08958910827026476,1.505165237187982
-0.08957799827026476,1.501444974070636
-0.08956688827026477,1.505165237187982
-0.08955577827026476,1.501444974070636
-0.08954466827026475,1.501444974070636
-0.08953355827026477,1.501444974070636
-0.08952244827026476,1.501444974070636
-0.08951133827026475,1.497724710953291
-0.08950022827026476,1.501444974070634
-0.08948911827026476,1.497724710953288
-0.08947800827026475,1.497724710953286
-0.08946689827026476,1.49400444783594
-0.08945578827026476,1.49400444783594
-0.08944467827026475,1.497724710953285
-0.08943356827026476,1.490284184718593
-0.08942245827026477,1.494004447835938
-0.08941134827026476,1.49400444783594
-0.08940023827026476,1.49400444783594
-0.08938912827026477,1.490284184718596
-0.08937801827026476,1.49400444783594
-0.08936690827026475,1.490284184718593
-0.08935579827026477,1.490284184718593
-0.08934468827026476,1.486563921601245
-0.08933357827026475,1.490284184718593
-0.08932246827026476,1.490284184718593
-0.08931135827026476,1.486563921601247
-0.08930024827026475,1.490284184718589
-0.08928913827026476,1.482843658483897
-0.08927802827026476,1.486563921601243
-0.08926691827026476,1.486563921601245
-0.08925580827026476,1.486563921601245
-0.08924469827026477,1.482843658483899
-0.08923358827026476,1.482843658483897
-0.08922247827026475,1.482843658483897
-0.08921136827026477,1.482843658483897
-0.08920025827026476,1.479123395366549
-0.08918914827026475,1.479123395366549
-0.08917803827026476,1.479123395366549
-0.08916692827026476,1.479123395366549
-0.08915581827026475,1.479123395366548
-0.08914470827026476,1.475403132249202
-0.08913359827026476,1.479123395366548
-0.08912248827026475,1.475403132249202
-0.08911137827026476,1.475403132249202
-0.08910026827026477,1.475403132249202
-0.08908915827026476,1.479123395366549
-0.08907804827026476,1.471682869131857
-0.08906693827026477,1.475403132249199
-0.08905582827026476,1.471682869131854
-0.08904471827026475,1.471682869131854
-0.08903360827026477,1.471682869131854
-0.08902249827026476,1.471682869131854
-0.08901138827026475,1.471682869131852
-0.08900027827026476,1.467962606014506
-0.08898916827026476,1.467962606014506
-0.08897805827026475,1.467962606014506
-0.08896694827026476,1.467962606014506
-0.08895583827026476,1.46424234289716
-0.08894472827026476,1.467962606014505
-0.08893361827026476,1.464242342897158
-0.08892250827026477,1.464242342897158
-0.08891139827026476,1.430759974841029
-0.08890028827026475,1.423319448606341
-0.08888917827026477,1.430759974841022
-0.08887806827026476,1.434480237958377
-0.08886695827026475,1.430759974841026
-0.08885584827026476,1.42703971172368
-0.08884473827026476,1.423319448606334
-0.08883362827026475,1.430759974841043
-0.08882251827026476,1.460522079779811
-0.08881140827026476,1.460522079779811
-0.08880029827026475,1.460522079779811
-0.08878918827026476,1.460522079779811
-0.08877807827026477,1.460522079779811
-0.08876696827026476,1.460522079779811
-0.08875585827026476,1.456801816662465
-0.08874474827026477,1.456801816662463
-0.08873363827026476,1.456801816662463
-0.08872252827026475,1.45680181666246
-0.08871141827026477,1.453081553545119
-0.08870030827026476,1.456801816662463
-0.08868919827026475,1.453081553545117
-0.08867808827026476,1.456801816662463
-0.08866697827026476,1.453081553545117
-0.08865586827026475,1.453081553545114
-0.08864475827026476,1.449361290427768
-0.08863364827026476,1.449361290427768
-0.08862253827026476,1.449361290427768
-0.08861142827026476,1.449361290427768
-0.08860031827026477,1.445641027310422
-0.08858920827026476,1.449361290427768
-0.08857809827026475,1.44564102731042
-0.08856698827026477,1.44564102731042
-0.08855587827026476,1.449361290427768
-0.08854476827026475,1.441920764193076
-0.08853365827026476,1.44564102731042
-0.08852254827026476,1.44564102731042
-0.08851143827026475,1.445641027310418
-0.08850032827026476,1.441920764193072
-0.08848921827026476,1.445641027310418
-0.08847810827026475,1.438200501075725
-0.08846699827026476,1.438200501075725
-0.08845588827026477,1.438200501075725
-0.08844477827026476,1.441920764193072
-0.08843366827026476,1.43448023795838
-0.08842255827026477,1.434480237958377
-0.08841144827026476,1.434480237958377
-0.08840033827026475,1.434480237958377
-0.08838922827026477,1.434480237958377
-0.08837811827026476,1.434480237958377
-0.08836700827026475,1.430759974841029
-0.08835589827026476,1.430759974841029
-0.08834478827026476,1.430759974841029
-0.08833367827026475,1.430759974841031
-0.08832256827026476,1.434480237958377
-0.08831145827026476,1.427039711723685
-0.08830034827026476,1.430759974841029
-0.08828923827026476,1.430759974841029
-0.08827812827026477,1.427039711723683
-0.08826701827026476,1.427039711723681
-0.08825590827026475,1.423319448606337
-0.08824479827026477,1.427039711723678
-0.08823368827026476,1.423319448606334
-0.08822257827026475,1.427039711723675
