#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery_2
#Date Time: 2026-04-21 09:07:20.651
#Sample rate: 8000Hz
#Samples: 8000
#Trigger: Source: Channel 1 Type: Edge Condition: Either Level: -400 mV Hyst.: 100 mV HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
-0.5,0.0021789377795077
-0.499875,0.0021789377795077
-0.49975,0.0021789377795077
-0.499625,0.0021789377795077
-0.4995,0.0021789377795077
-0.499375,0.0021789377795077
-0.49925,0.0021789377795077
-0.499125,0.0021789377795077
-0.499,0.0021789377795077
-0.498875,0.0021789377795077
-0.49875,0.0021789377795077
-0.498625,0.005899200896855413
-0.4985,0.005899200896855413
-0.498375,0.005899200896855413
-0.49825,0.005899200896855413
-0.498125,0.005899200896855413
-0.498,0.0021789377795077
-0.497875,0.0021789377795077
-0.49775,0.0021789377795077
-0.497625,0.0021789377795077
-0.4975,0.0021789377795077
-0.497375,0.005899200896855413
-0.49725,0.005899200896855413
-0.497125,0.0021789377795077
-0.497,0.0021789377795077
-0.496875,0.005899200896855413
-0.49675,0.005899200896855413
-0.496625,0.005899200896855413
-0.4965,0.005899200896855413
-0.496375,0.0021789377795077
-0.49625,0.005899200896855413
-0.496125,0.005899200896855413
-0.496,0.005899200896855413
-0.495875,0.005899200896855413
-0.49575,0.005899200896855413
-0.495625,0.005899200896855413
-0.4955,0.005899200896855413
-0.495375,0.005899200896855413
-0.49525,0.005899200896855413
-0.495125,0.005899200896855413
-0.495,0.005899200896855413
-0.494875,0.005899200896855413
-0.49475,0.005899200896855413
-0.494625,0.005899200896855413
-0.4945,0.005899200896855413
-0.494375,0.005899200896855413
-0.49425,0.005899200896855413
-0.494125,0.005899200896855413
-0.494,0.005899200896855413
-0.493875,0.005899200896855413
-0.49375,0.005899200896855413
-0.493625,0.005899200896855413
-0.4935,0.005899200896855413
-0.493375,0.005899200896855413
-0.49325,0.005899200896855413
-0.493125,0.005899200896855413
-0.493,0.005899200896855413
-0.492875,0.005899200896855413
-0.49275,0.0021789377795077
-0.492625,0.005899200896855413
-0.4925,0.005899200896855413
-0.492375,0.005899200896855413
-0.49225,0.0021789377795077
-0.492125,0.005899200896855413
-0.492,0.005899200896855413
-0.491875,0.005899200896855413
-0.49175,0.005899200896855413
-0.491625,0.005899200896855413
-0.4915,0.005899200896855413
-0.491375,0.005899200896855413
-0.49125,0.005899200896855413
-0.491125,0.005899200896855413
-0.491,0.005899200896855413
-0.490875,0.005899200896855413
-0.49075,0.005899200896855413
-0.490625,0.005899200896855413
-0.4905,0.005899200896855413
-0.490375,0.0021789377795077
-0.49025,0.0021789377795077
-0.490125,0.005899200896855413
-0.49,0.005899200896855413
-0.489875,0.005899200896855413
-0.48975,0.005899200896855413
-0.489625,0.005899200896855413
-0.4895,0.005899200896855413
-0.489375,0.005899200896855413
-0.48925,0.005899200896855413
-0.489125,0.005899200896855413
-0.489,0.005899200896855413
-0.488875,0.005899200896855413
-0.48875,0.005899200896855413
-0.488625,0.005899200896855413
-0.4885,0.005899200896855413
-0.488375,0.005899200896855413
-0.48825,0.005899200896855413
